Series;Time;Value
Power;2015-06-06T20:28:15.000Z;1956.1860000000001
Power;2015-06-06T20:28:20.000Z;1956.1449999999998
Power;2015-06-06T20:28:25.000Z;1956.8160000000003
Power;2015-06-06T20:28:30.000Z;1954.8974999999998
Power;2015-06-06T20:28:35.000Z;1957.608
Power;2015-06-06T20:28:40.000Z;1958.5800000000002
Power;2015-06-06T20:28:45.000Z;1959.6079999999997
Power;2015-06-06T20:28:50.000Z;1961.8720000000003
Power;2015-06-06T20:28:55.000Z;1963.9099999999999
Power;2015-06-06T20:29:00.000Z;1964.24
Power;2015-06-06T20:29:05.000Z;1966.6619999999998
Power;2015-06-06T20:29:10.000Z;1966.4499999999998
Power;2015-06-06T20:29:15.000Z;1964.3049999999998
Power;2015-06-06T20:29:20.000Z;1963.2420000000002
Power;2015-06-06T20:29:25.000Z;1962.7925
Power;2015-06-06T20:29:30.000Z;1963.8180000000002
Power;2015-06-06T20:29:35.000Z;1962.766
Power;2015-06-06T20:29:40.000Z;1962.86
Power;2015-06-06T20:29:45.000Z;1963.7640000000001
Power;2015-06-06T20:29:50.000Z;1964.37
Power;2015-06-06T20:29:55.000Z;1965.6619999999998
Power;2015-06-06T20:30:00.000Z;1966.35
Power;2015-06-06T20:30:05.000Z;1964.5559999999998
Power;2015-06-06T20:30:10.000Z;1963.028
Power;2015-06-06T20:30:15.000Z;1962.3325
Power;2015-06-06T20:30:20.000Z;1962.6080000000002
Power;2015-06-06T20:30:25.000Z;1963.12
Power;2015-06-06T20:30:30.000Z;1965.1359999999995
Power;2015-06-06T20:30:35.000Z;1966.6099999999997
Power;2015-06-06T20:30:40.000Z;1964.504
Power;2015-06-06T20:30:45.000Z;1961.818
Power;2015-06-06T20:30:50.000Z;1959.4375
Power;2015-06-06T20:30:55.000Z;1958.7640000000001
Power;2015-06-06T20:31:00.000Z;1958.19
Power;2015-06-06T20:31:05.000Z;1958.6080000000002
Power;2015-06-06T20:31:10.000Z;1959.3725000000004
Power;2015-06-06T20:31:15.000Z;1958.5560000000003
Power;2015-06-06T20:31:20.000Z;1955.4875
Power;2015-06-06T20:31:25.000Z;1953.6619999999998
Power;2015-06-06T20:31:30.000Z;1950.8174999999999
Power;2015-06-06T20:31:35.000Z;1949.6079999999997
Power;2015-06-06T20:31:40.000Z;1951.292
Power;2015-06-06T20:31:45.000Z;1953.185
Power;2015-06-06T20:31:50.000Z;1954.504
Power;2015-06-06T20:31:55.000Z;1952.5275000000001
Power;2015-06-06T20:32:00.000Z;1948.315
Power;2015-06-06T20:32:05.000Z;1899.6825000000001
Power;2015-06-06T20:32:10.000Z;1070.474
Power;2015-06-06T20:32:15.000Z;206.875
Power;2015-06-06T20:32:20.000Z;137.31
Power;2015-06-06T20:32:25.000Z;137.31
Power;2015-06-06T20:32:30.000Z;137.505
Power;2015-06-06T20:32:35.000Z;137.67800000000003
Power;2015-06-06T20:32:40.000Z;137.57
Power;2015-06-06T20:32:45.000Z;137.57
Power;2015-06-06T20:32:50.000Z;137.6375
Power;2015-06-06T20:32:55.000Z;138.048
Power;2015-06-06T20:33:00.000Z;138.1
Power;2015-06-06T20:33:05.000Z;138.256
Power;2015-06-06T20:33:10.000Z;138.30800000000002
Power;2015-06-06T20:33:15.000Z;138.23000000000002
Power;2015-06-06T20:33:20.000Z;138.30800000000002
Power;2015-06-06T20:33:25.000Z;138.23000000000002
Power;2015-06-06T20:33:30.000Z;138.152
Power;2015-06-06T20:33:35.000Z;138.035
Power;2015-06-06T20:33:40.000Z;137.996
Power;2015-06-06T20:33:45.000Z;138.035
Power;2015-06-06T20:33:50.000Z;138.1
Power;2015-06-06T20:33:55.000Z;138.165
Power;2015-06-06T20:34:00.000Z;137.97
Power;2015-06-06T20:34:05.000Z;137.70499999999998
Power;2015-06-06T20:34:10.000Z;137.414
Power;2015-06-06T20:34:15.000Z;137.362
Power;2015-06-06T20:34:20.000Z;137.57
Power;2015-06-06T20:34:25.000Z;137.57
Power;2015-06-06T20:34:30.000Z;137.705
Power;2015-06-06T20:34:35.000Z;137.624
Power;2015-06-06T20:34:40.000Z;137.6375
Power;2015-06-06T20:34:45.000Z;137.414
Power;2015-06-06T20:34:50.000Z;137.57
Power;2015-06-06T20:34:55.000Z;137.505
Power;2015-06-06T20:35:00.000Z;137.57
Power;2015-06-06T20:35:05.000Z;137.375
Power;2015-06-06T20:35:10.000Z;137.256
Power;2015-06-06T20:35:15.000Z;137.04
Power;2015-06-06T20:35:20.000Z;137.094
Power;2015-06-06T20:35:25.000Z;137.04
Power;2015-06-06T20:35:30.000Z;137.04
Power;2015-06-06T20:35:35.000Z;137.094
Power;2015-06-06T20:35:40.000Z;137.31
Power;2015-06-06T20:35:45.000Z;137.31
Power;2015-06-06T20:35:50.000Z;137.44
Power;2015-06-06T20:35:55.000Z;137.57
Power;2015-06-06T20:36:00.000Z;137.31
Power;2015-06-06T20:36:05.000Z;137.57
Power;2015-06-06T20:36:10.000Z;137.44
Power;2015-06-06T20:36:15.000Z;137.31
Power;2015-06-06T20:36:20.000Z;137.41400000000002
Power;2015-06-06T20:36:25.000Z;137.57
Power;2015-06-06T20:36:30.000Z;137.41400000000002
Power;2015-06-06T20:36:35.000Z;137.57
Power;2015-06-06T20:36:40.000Z;137.6375
Power;2015-06-06T20:36:45.000Z;137.518
Power;2015-06-06T20:36:50.000Z;137.505
Power;2015-06-06T20:36:55.000Z;137.67800000000003
Power;2015-06-06T20:37:00.000Z;137.57
Power;2015-06-06T20:37:05.000Z;137.732
Power;2015-06-06T20:37:10.000Z;137.57
Power;2015-06-06T20:37:15.000Z;137.31
Power;2015-06-06T20:37:20.000Z;137.31
Power;2015-06-06T20:37:25.000Z;137.505
Power;2015-06-06T20:37:30.000Z;137.57
Power;2015-06-06T20:37:35.000Z;137.375
Power;2015-06-06T20:37:40.000Z;137.57
Power;2015-06-06T20:37:45.000Z;137.518
Power;2015-06-06T20:37:50.000Z;137.705
Power;2015-06-06T20:37:55.000Z;137.996
Power;2015-06-06T20:38:00.000Z;138.36
Power;2015-06-06T20:38:05.000Z;137.94400000000002
Power;2015-06-06T20:38:10.000Z;137.7725
Power;2015-06-06T20:38:15.000Z;137.57
Power;2015-06-06T20:38:20.000Z;137.57
Power;2015-06-06T20:38:25.000Z;137.57
Power;2015-06-06T20:38:30.000Z;137.678
Power;2015-06-06T20:38:35.000Z;137.7725
Power;2015-06-06T20:38:40.000Z;137.73200000000003
Power;2015-06-06T20:38:45.000Z;137.6375
Power;2015-06-06T20:38:50.000Z;137.57
Power;2015-06-06T20:38:55.000Z;137.84
Power;2015-06-06T20:39:00.000Z;137.84
Power;2015-06-06T20:39:05.000Z;137.786
Power;2015-06-06T20:39:10.000Z;137.6375
Power;2015-06-06T20:39:15.000Z;137.31
Power;2015-06-06T20:39:20.000Z;137.375
Power;2015-06-06T20:39:25.000Z;137.57
Power;2015-06-06T20:39:30.000Z;137.094
Power;2015-06-06T20:39:35.000Z;137.1075
Power;2015-06-06T20:39:40.000Z;137.04
Power;2015-06-06T20:39:45.000Z;137.04
Power;2015-06-06T20:39:50.000Z;137.04
Power;2015-06-06T20:39:55.000Z;137.1075
Power;2015-06-06T20:40:00.000Z;137.04
Power;2015-06-06T20:40:05.000Z;137.256
Power;2015-06-06T20:40:10.000Z;137.04
Power;2015-06-06T20:40:15.000Z;136.975
Power;2015-06-06T20:40:20.000Z;136.93599999999998
Power;2015-06-06T20:40:25.000Z;136.91
Power;2015-06-06T20:40:30.000Z;136.832
Power;2015-06-06T20:40:35.000Z;136.726
Power;2015-06-06T20:40:40.000Z;136.845
Power;2015-06-06T20:40:45.000Z;136.884
Power;2015-06-06T20:40:50.000Z;136.975
